CDUC,Local - Nome da Unidade de Conservação,Número da Estação Amostral,Nome da EA,km/dia de amostragem (esforço),data da amostragem ,Ano,Estação do ano,Horário de início  (hh:mm),Horário de término (hh:mm),"condição climática: aberto, nublado e chuvoso",nome dos observadores,Número do animal no guia,Classe,Ordem,Família,Gênero,Espécies,"Clasificação taxonômica (espécie, gênero, família ou ordem)",Espécies validadas para análise do ICMBio,Número do animal no guia validado,Clasificação taxonômica validada,horário do avistamento,n° de animais,total ou parcial?,distância (m)     do animal em relação a trilha,marcação no transecto,teve problema durante a amostragem?  ,Observações
118,Flona do Jamari,1,Fazenda,,17/07/2016,17/07/2016,seca,06:25:00,11:15:00,aberto,Pedro e Paulo,224,Mamíferos,Primates,Cebidae,Sapajus,Sapajus apella,,Sapajus apella,224,E,09:30:00,5,Parcial,3,2400,Nâo,
118,Flona do Jamari,1,Fazenda,,17/07/2016,17/07/2016,seca,06:25:00,11:15:00,aberto,Pedro e Paulo,35,Aves,Tinamiformes,Tinamidae,Crypturellus,Crypturellus sp.,G,Crypturellus sp.,35,G,09:37:00,1,Total,4,2600,Nâo,
118,Flona do Jamari,1,Fazenda,,17/07/2016,17/07/2016,seca,06:25:00,11:15:00,aberto,Pedro e Paulo,35,Aves,Tinamiformes,Tinamidae,Crypturellus,Crypturellus sp.,G,Crypturellus sp.,35,G,09:52:00,1,Total,13,3050,Nâo,
118,Flona do Jamari,1,Fazenda,,17/07/2016,17/07/2016,seca,06:25:00,11:15:00,aberto,Pedro e Paulo,6,Aves,Galliformes,Cracidae,Pauxi,Pauxi tuberosa,,Pauxi tuberosa,6,E,10:10:00,1,Total,23,3450,Nâo,
118,Flona do Jamari,1,Fazenda,,17/07/2016,17/07/2016,seca,06:25:00,11:15:00,aberto,Pedro e Paulo,260,Mamíferos,Primates,Pitheciidae,Pithecia,Pithecia irrorata,,Pithecia irrorata,260,E,10:44:00,3,Parcial,1,4200,Nâo,
118,Flona do Jamari,1,Fazenda,5000,18/07/2016,18/07/2016,seca,06:39:00,11:54:00,aberto,Pedro e Paulo,35,Aves,Tinamiformes,Tinamidae,Crypturellus,Crypturellus sp.,G,Crypturellus sp.,35,G,06:42:00,1,Total,0,100,Nâo,
118,Flona do Jamari,1,Fazenda,,18/07/2016,18/07/2016,seca,06:39:00,11:54:00,aberto,Pedro e Paulo,6,Aves,Galliformes,Cracidae,Pauxi,Pauxi tuberosa,,Pauxi tuberosa,6,E,07:13:00,1,Total,18,450,Nâo,
118,Flona do Jamari,1,Fazenda,,18/07/2016,18/07/2016,seca,06:39:00,11:54:00,aberto,Pedro e Paulo,35,Aves,Tinamiformes,Tinamidae,Crypturellus,Crypturellus sp.,G,Crypturellus sp.,35,G,08:12:00,1,Total,14,1200,Nâo,
118,Flona do Jamari,1,Fazenda,,18/07/2016,18/07/2016,seca,06:39:00,11:54:00,aberto,Pedro e Paulo,139,Mamíferos,Rodentia,Dasyproctidae,Dasyprocta,Dasyprocta leporina,,Dasyprocta cf. fuliginosa,137,E,08:44:00,1,Total,10,1600,Nâo,
118,Flona do Jamari,1,Fazenda,,18/07/2016,18/07/2016,seca,06:39:00,11:54:00,aberto,Pedro e Paulo,139,Mamíferos,Rodentia,Dasyproctidae,Dasyprocta,Dasyprocta leporina,,Dasyprocta cf. fuliginosa,137,E,08:52:00,1,Total,9,1700,Nâo,
118,Flona do Jamari,1,Fazenda,,18/07/2016,18/07/2016,seca,06:39:00,11:54:00,aberto,Pedro e Paulo,35,Aves,Tinamiformes,Tinamidae,Crypturellus,Crypturellus sp.,G,Crypturellus sp.,35,G,09:01:00,1,Total,7,1800,Nâo,
118,Flona do Jamari,1,Fazenda,,18/07/2016,18/07/2016,seca,06:39:00,11:54:00,aberto,Pedro e Paulo,139,Mamíferos,Rodentia,Dasyproctidae,Dasyprocta,Dasyprocta leporina,,Dasyprocta cf. fuliginosa,137,E,09:45:00,1,Total,6,2450,Nâo,
118,Flona do Jamari,1,Fazenda,,18/07/2016,18/07/2016,seca,06:39:00,11:54:00,aberto,Pedro e Paulo,139,Mamíferos,Rodentia,Dasyproctidae,Dasyprocta,Dasyprocta leporina,,Dasyprocta cf. fuliginosa,137,E,09:49:00,1,Total,8,2500,Nâo,
118,Flona do Jamari,1,Fazenda,,18/07/2016,18/07/2016,seca,06:39:00,11:54:00,aberto,Pedro e Paulo,35,Aves,Tinamiformes,Tinamidae,Crypturellus,Crypturellus sp.,G,Crypturellus sp.,35,G,10:53:00,1,Total,12,3600,Nâo,
118,Flona do Jamari,1,Fazenda,,18/07/2016,18/07/2016,seca,06:39:00,11:54:00,aberto,Pedro e Paulo,12,Aves,Galliformes,Cracidae,Penelope,Penelope jacquacu,,Penelope sp.,12,G,11:19:00,1,Total,19,4100,Nâo,
118,Flona do Jamari,1,Fazenda,,18/07/2016,18/07/2016,seca,06:39:00,11:54:00,aberto,Pedro e Paulo,35,Aves,Tinamiformes,Tinamidae,Crypturellus,Crypturellus sp.,G,Crypturellus sp.,35,G,11:23:00,1,Total,5,4200,Nâo,
118,Flona do Jamari,1,Fazenda,,18/07/2016,18/07/2016,seca,06:39:00,11:54:00,aberto,Pedro e Paulo,35,Aves,Tinamiformes,Tinamidae,Crypturellus,Crypturellus sp.,G,Crypturellus sp.,35,G,11:29:00,1,Total,1,4300,Nâo,
118,Flona do Jamari,1,Fazenda,,18/07/2016,18/07/2016,seca,06:39:00,11:54:00,aberto,Pedro e Paulo,224,Mamíferos,Primates,Cebidae,Sapajus,Sapajus apella,,Sapajus apella,224,E,11:45:00,4,Parcial,4,4750,Nâo,
118,Flona do Jamari,1,Fazenda,5000,19/07/2016,19/07/2016,seca,06:35:00,11:30:00,aberto,Pedro e Paulo,224,Mamíferos,Primates,Cebidae,Sapajus,Sapajus apella,,Sapajus apella,224,E,07:05:00,3,Parcial,2,450,Nâo,
118,Flona do Jamari,1,Fazenda,,19/07/2016,19/07/2016,seca,06:35:00,11:30:00,aberto,Pedro e Paulo,35,Aves,Tinamiformes,Tinamidae,Crypturellus,Crypturellus sp.,G,Crypturellus sp.,35,G,07:05:00,1,Total,0,450,Nâo,
118,Flona do Jamari,1,Fazenda,,19/07/2016,19/07/2016,seca,06:35:00,11:30:00,aberto,Pedro e Paulo,139,Mamíferos,Rodentia,Dasyproctidae,Dasyprocta,Dasyprocta leporina,,Dasyprocta cf. fuliginosa,137,E,08:55:00,1,Total,8,2400,Nâo,
118,Flona do Jamari,1,Fazenda,,19/07/2016,19/07/2016,seca,06:35:00,11:30:00,aberto,Pedro e Paulo,35,Aves,Tinamiformes,Tinamidae,Crypturellus,Crypturellus sp.,G,Crypturellus sp.,35,G,08:58:00,1,Total,5,2450,Nâo,
118,Flona do Jamari,1,Fazenda,,19/07/2016,19/07/2016,seca,06:35:00,11:30:00,aberto,Pedro e Paulo,35,Aves,Tinamiformes,Tinamidae,Crypturellus,Crypturellus sp.,G,Crypturellus sp.,35,G,10:24:00,1,Total,5,3900,Nâo,
118,Flona do Jamari,1,Fazenda,,19/07/2016,19/07/2016,seca,06:35:00,11:30:00,aberto,Pedro e Paulo,186,Mamíferos,Primates,Callitrichidae,Saguinus,Saguinus weddelli,,Saguinus weddelli,197,E,10:40:00,4,Parcial,3,4150,Nâo,
118,Flona do Jamari,1,Fazenda,,19/07/2016,19/07/2016,seca,06:35:00,11:30:00,aberto,Pedro e Paulo,35,Aves,Tinamiformes,Tinamidae,Crypturellus,Crypturellus sp.,G,Crypturellus sp.,35,G,10:50:00,1,Total,1,4300,Nâo,
118,Flona do Jamari,1,Fazenda,5000,20/07/2016,20/07/2016,seca,06:30:00,11:21:00,aberto,Pedro e Paulo,243,Mamíferos,Primates,Atelidae,Ateles,Ateles chamek,E,Ateles chamek,243,E,06:40:00,3,Total,14,200,Nâo,
118,Flona do Jamari,1,Fazenda,,20/07/2016,20/07/2016,seca,06:30:00,11:21:00,aberto,Pedro e Paulo,35,Aves,Tinamiformes,Tinamidae,Crypturellus,Crypturellus sp.,G,Crypturellus sp.,35,G,06:42:00,1,Total,13,250,Nâo,
118,Flona do Jamari,1,Fazenda,,20/07/2016,20/07/2016,seca,06:30:00,11:21:00,aberto,Pedro e Paulo,139,Mamíferos,Rodentia,Dasyproctidae,Dasyprocta,Dasyprocta leporina,,Dasyprocta cf. fuliginosa,137,E,06:57:00,1,Total,12,500,Nâo,
118,Flona do Jamari,1,Fazenda,,20/07/2016,20/07/2016,seca,06:30:00,11:21:00,aberto,Pedro e Paulo,166,Mamíferos,Rodentia,Sciuridae,Urosciurus,Urosciurus spadiceus,,Urosciurus spadiceus,166,E,07:11:00,1,Total,12,650,Nâo,Quatipurú vermelho
118,Flona do Jamari,1,Fazenda,,20/07/2016,20/07/2016,seca,06:30:00,11:21:00,aberto,Pedro e Paulo,139,Mamíferos,Rodentia,Dasyproctidae,Dasyprocta,Dasyprocta leporina,,Dasyprocta cf. fuliginosa,137,E,08:09:00,2,Total,7,1600,Nâo,
118,Flona do Jamari,1,Fazenda,,20/07/2016,20/07/2016,seca,06:30:00,11:21:00,aberto,Pedro e Paulo,6,Aves,Galliformes,Cracidae,Pauxi,Pauxi tuberosa,,Pauxi tuberosa,6,E,09:37:00,2,Total,26,3350,Nâo,
118,Flona do Jamari,1,Fazenda,,20/07/2016,20/07/2016,seca,06:30:00,11:21:00,aberto,Pedro e Paulo,12,Aves,Galliformes,Cracidae,Penelope,Penelope jacquacu,,Penelope sp.,12,G,10:11:00,1,Total,4,3750,Nâo,
118,Flona do Jamari,1,Fazenda,,20/07/2016,20/07/2016,seca,06:30:00,11:21:00,aberto,Pedro e Paulo,35,Aves,Tinamiformes,Tinamidae,Crypturellus,Crypturellus sp.,G,Crypturellus sp.,35,G,10:47:00,1,Total,1,4300,Nâo,
118,Flona do Jamari,1,Fazenda,5000,21/07/2016,21/07/2016,seca,06:29:00,11:12:00,aberto,Pedro e Paulo,243,Mamíferos,Primates,Atelidae,Ateles,Ateles chamek,E,Ateles chamek,243,E,06:41:00,2,Total,22,200,Nâo,
118,Flona do Jamari,1,Fazenda,,21/07/2016,21/07/2016,seca,06:29:00,11:12:00,aberto,Pedro e Paulo,6,Aves,Galliformes,Cracidae,Pauxi,Pauxi tuberosa,,Pauxi tuberosa,6,E,07:15:00,1,Total,4,750,Nâo,
118,Flona do Jamari,1,Fazenda,,21/07/2016,21/07/2016,seca,06:29:00,11:12:00,aberto,Pedro e Paulo,122,Mamíferos,Artiodactyla,Tayassuidae,Tayassu,Tayassu pecari,,Tayassu pecari,122,E,07:30:00,2,Parcial,0,1000,Nâo,
118,Flona do Jamari,1,Fazenda,,21/07/2016,21/07/2016,seca,06:29:00,11:12:00,aberto,Pedro e Paulo,224,Mamíferos,Primates,Cebidae,Sapajus,Sapajus apella,,Sapajus apella,224,E,08:12:00,2,Parcial,12,1500,Nâo,
118,Flona do Jamari,1,Fazenda,,21/07/2016,21/07/2016,seca,06:29:00,11:12:00,aberto,Pedro e Paulo,166,Mamíferos,Rodentia,Sciuridae,Urosciurus,Urosciurus spadiceus,,Urosciurus spadiceus,166,E,08:26:00,1,Total,5,1750,Nâo,Quatipurú vermelho
118,Flona do Jamari,1,Fazenda,,21/07/2016,21/07/2016,seca,06:29:00,11:12:00,aberto,Pedro e Paulo,12,Aves,Galliformes,Cracidae,Penelope,Penelope jacquacu,,Penelope sp.,12,G,09:07:00,3,Total,6,2700,Nâo,
118,Flona do Jamari,1,Fazenda,,21/07/2016,21/07/2016,seca,06:29:00,11:12:00,aberto,Pedro e Paulo,243,Mamíferos,Primates,Atelidae,Ateles,Ateles chamek,E,Ateles chamek,243,E,09:42:00,2,Parcial,8,3350,Nâo,
118,Flona do Jamari,1,Fazenda,,21/07/2016,21/07/2016,seca,06:29:00,11:12:00,aberto,Pedro e Paulo,6,Aves,Galliformes,Cracidae,Pauxi,Pauxi tuberosa,,Pauxi tuberosa,6,E,09:43:00,3,Total,12,3350,Nâo,
118,Flona do Jamari,1,Fazenda,,21/07/2016,21/07/2016,seca,06:29:00,11:12:00,aberto,Pedro e Paulo,72,Mamíferos,Pilosa,Myrmecophagidae,Tamandua,Tamandua tetradactyla,,Tamandua tetradactyla,72,E,09:50:00,1,Total,19,3400,Nâo,
118,Flona do Jamari,1,Fazenda,,21/07/2016,21/07/2016,seca,06:29:00,11:12:00,aberto,Pedro e Paulo,35,Aves,Tinamiformes,Tinamidae,Crypturellus,Crypturellus sp.,G,Crypturellus sp.,35,G,10:40:00,1,Total,1,4300,Nâo,
118,Flona do Jamari,1,Fazenda,,21/07/2016,21/07/2016,seca,06:29:00,11:12:00,aberto,Pedro e Paulo,139,Mamíferos,Rodentia,Dasyproctidae,Dasyprocta,Dasyprocta leporina,,Dasyprocta cf. fuliginosa,137,E,10:44:00,1,Total,12,4350,Nâo,
118,Flona do Jamari,1,Fazenda,5000,22/07/2016,22/07/2016,seca,06:30:00,11:25:00,aberto,Pedro e Paulo,243,Mamíferos,Primates,Atelidae,Ateles,Ateles chamek,E,Ateles chamek,243,E,07:11:00,2,Parcial,30,750,Nâo,
118,Flona do Jamari,1,Fazenda,,22/07/2016,22/07/2016,seca,06:30:00,11:25:00,aberto,Pedro e Paulo,121,Mamíferos,Artiodactyla,Tayassuidae,Pecari,Pecari tajacu,,Pecari tajacu,121,E,07:12:00,2,Total,12,700,Nâo,
118,Flona do Jamari,1,Fazenda,,22/07/2016,22/07/2016,seca,06:30:00,11:25:00,aberto,Pedro e Paulo,139,Mamíferos,Rodentia,Dasyproctidae,Dasyprocta,Dasyprocta leporina,,Dasyprocta cf. fuliginosa,137,E,07:27:00,1,Total,0,950,Nâo,
118,Flona do Jamari,1,Fazenda,,22/07/2016,22/07/2016,seca,06:30:00,11:25:00,aberto,Pedro e Paulo,12,Aves,Galliformes,Cracidae,Penelope,Penelope jacquacu,,Penelope sp.,12,G,08:19:00,2,Parcial,7,1750,Nâo,
118,Flona do Jamari,1,Fazenda,,22/07/2016,22/07/2016,seca,06:30:00,11:25:00,aberto,Pedro e Paulo,12,Aves,Galliformes,Cracidae,Penelope,Penelope jacquacu,,Penelope sp.,12,G,08:27:00,1,Parcial,27,1900,Nâo,
118,Flona do Jamari,1,Fazenda,,22/07/2016,22/07/2016,seca,06:30:00,11:25:00,aberto,Pedro e Paulo,12,Aves,Galliformes,Cracidae,Penelope,Penelope jacquacu,,Penelope sp.,12,G,09:08:00,1,Total,36,2750,Nâo,
